user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
LevelSmilingCivet,Accepted,3.34,152.0,,"$90,000",,,,,,,2025-01-03,,2025-06-13T15:24:42Z,90000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
slayalfonsina,Accepted,3.75,164.0,,"$146,610, Good academic standing (2.3 GPA)",2024-11-29,,2024-12-03,,,,2024-12-12,Regular Decision,2025-06-13T15:24:43Z,146610,False,Good academic standing (2.3 GPA),True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
sucka,Accepted,3.12,160.0,,"$150,000, Full Tuition",2024-09-09,2024-09-10,,,,,2024-11-25,Regular Decision,2025-06-13T15:24:44Z,150000,False,Full Tuition,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
CarelessHatefulDormouse,Accepted,4.0,157.0,10+ years,,2024-09-12,2024-09-16,,,,,2025-01-03,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,East Asian,True,False,False,False,False,False,False,,regular,11.0,,,,,False,False,Accepted
WhenInRome,Accepted,3.8,165.0,,"$146,610, Conditional",,,,,,,2024-12-05,Regular Decision,2025-06-13T15:24:45Z,146610,True,,True,,True,Other,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
LumpyLittleNerd,Accepted,2.98,148.0,1-4 years,"$14,000",2024-11-27,,,,,,2024-12-12,Regular Decision,2025-06-13T15:24:45Z,14000,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
12-78-90live,Accepted,2.9,156.0,,,2025-03-23,,,,,,2025-04-01,,2025-06-13T15:24:45Z,,False,,False,,True,Hispanic/Latino,True,False,False,False,False,False,False,,,,,,,,False,False,Accepted
RaggedAbjectKitten,"WL, Withdrawn",2.7,154.0,5-9 years,,2025-02-13,2025-02-15,2025-02-17,,,,2025-04-01,Regular Decision,2025-06-13T15:24:59Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
GorgeousPluckyJaguar,Accepted,4.0,148.0,,,,,,,,,2024-11-27,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
MadRosie441,Accepted,3.41,154.0,,"$114,000",,,,,,,2025-03-07,Regular Decision,2025-06-13T15:24:47Z,114000,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
CheerfulExultantChimera,Accepted,2.41,166.0,,"$120,000",2025-01-10,,2025-01-14,,,,2025-04-17,,2025-06-13T15:24:48Z,120000,False,,False,,False,White,True,False,False,False,False,False,True,,,,,,,,False,False,Accepted
EqualPluckyOctopus,Waitlisted,3.4,146.0,,,2025-03-15,2025-03-16,2025-03-17,,,,2025-03-27,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
JDJr,Pending,3.24,159.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:48Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
HospitableInexpensiveTermite,Pending,2.97,147.0,10+ years,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,15.0,,,,,False,False,Pending
2024ApplicantNorthEast,Accepted,2.65,155.0,1-4 years,"$120,000",2024-12-11,2024-12-11,2024-12-12,,,,2024-12-19,Regular Decision,2025-06-13T15:24:48Z,120000,False,,True,,False,White,True,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
PinkAnimatedQuail,Accepted,3.23,159.0,,,,,,,,,2025-01-13,,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Theblackellewoods,Accepted,3.26,150.0,,"$22,000",2024-12-01,,2024-12-02,,,,2024-12-12,Regular Decision,2025-06-13T15:24:50Z,22000,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
DueProcessMatters,Pending,3.71,154.0,,,,,,,,,,,2025-06-13T15:24:50Z,,False,,True,,True,Hispanic/Latino,True,False,False,False,False,False,False,,,,,,,,False,False,Pending
Asiangirlevery1hates,Pending,3.71,,,,,,,,,,,,2025-06-13T15:24:51Z,,,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
MooseLaw,Pending,,,,,,,,,,,,,2025-06-13T15:24:52Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
CoordinatedPurringPheasant,Rejected,3.2,157.0,1-4 years,,2025-01-06,,2025-01-08,,,,2025-02-20,Regular Decision,2025-06-13T15:24:52Z,,False,,False,,True,American Indian/Alaskan Native,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
CurvBroadForest,Pending,3.03,149.0,1-4 years,,,,,,,,,,2025-06-13T15:24:53Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Pending
