user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
GreasyBoi,Accepted,3.63,163.0,1-4 years,"$120,000",2025-01-20,2025-01-20,2025-01-21,2025-01-21,,,2025-02-11,Regular Decision,2025-06-13T15:24:42Z,120000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
JoyousStatuesqueOstrich,Pending,3.2,157.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ManyOver12,Accepted,3.16,150.0,1-4 years,,,2024-10-09,,,,,2024-12-20,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
MelodicAloofSeahorse,Pending,2.66,147.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
TheLawMan69,Waitlisted,3.29,148.0,1-4 years,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Waitlisted
sucka,Accepted,3.12,160.0,,"$105,000",2024-09-04,2024-09-05,,,,,2024-12-20,Regular Decision,2025-06-13T15:24:44Z,105000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
CarelessHatefulDormouse,Pending,4.0,157.0,10+ years,,2024-09-12,2024-09-12,2024-09-16,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,East Asian,True,False,False,False,False,False,False,,regular,11.0,,,,,False,False,Pending
LSATQueen,Accepted,3.99,164.0,,"$142,200",2024-12-01,,,,,,2025-01-27,,2025-06-13T15:24:44Z,142200,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
QuickestAnteater,Pending,,,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Doingthebesthecan,Pending,2.7,155.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
BigMacChuck,Accepted,3.8,154.0,,"$123,000",2025-02-26,,2025-02-28,,,,2025-03-27,Regular Decision,2025-06-13T15:24:46Z,123000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
NonstopConsciousPuma,Accepted,3.47,166.0,1-4 years,"$142,000",,,,,,,2025-02-06,,2025-06-13T15:24:47Z,142000,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
MadRosie441,Pending,3.41,154.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
ScrawnyDeterminedDwarf,Rejected,2.55,163.0,10+ years,,2025-03-15,2025-03-15,2025-03-24,,,,2025-04-21,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,False,White,True,False,False,False,False,False,True,Pretty serious twenty years ago ,regular,12.0,,,,,False,False,Rejected
BrownSugar412,Accepted,3.83,,1-4 years,,2025-02-05,2025-02-06,,,,,2025-03-11,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
