user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
AppleCiderVinegar,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
AllegedAcidFrog,Rejected,3.7,165.0,,,2024-11-12,2024-11-12,2024-11-19,2024-12-01,,,2025-02-13,,2025-06-13T15:24:42Z,,False,,True,Unsolicited,True,Native Hawaiian or other Pacific Islander,False,True,False,False,False,False,False,,,,,,,,False,False,Rejected
losangelesentertainmentatty,Rejected,3.7,168.0,1-4 years,,2024-11-30,,2024-12-13,2024-12-13,,,2025-03-06,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
YellowFumblingBuzzard,wl_rejected,3.8,166.0,,,2024-10-30,,,2024-11-04,,,2025-07-01,,2025-07-01T20:30:47Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,wl_rejected
RogueRegency,Waitlisted,3.84,170.0,,,2025-02-01,2025-02-01,2025-02-04,2025-02-07,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
NonstopAncientLeek,Rejected,3.01,164.0,,,2024-09-13,2024-09-13,2024-09-13,,,2024-09-14,2025-02-05,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
CMAC858,Rejected,3.85,168.0,1-4 years,,,,,,,,2025-02-21,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
AllegedEnchantingTerrier,Waitlisted,3.55,176.0,0 years (KJD),,2025-01-07,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
Nolan,"Withdrawn, Withdrawn",3.32,171.0,0 years (KJD),,2024-09-22,,,,,,2024-11-01,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,Withdrawn
AboardPeacefulOtter,Accepted,3.9,173.0,,"$90,000",2024-11-24,,,,,,2025-01-28,Regular Decision,2025-06-13T15:24:42Z,90000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
warfart,Accepted,4.0,172.0,1-4 years,"$84,000",2025-01-30,2025-01-31,,,,2025-01-31,,Regular Decision,2025-06-13T15:24:42Z,84000,False,,True,,False,East Asian,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
uptowngirl0602,Rejected,3.7,169.0,1-4 years,,,,,2024-12-06,,,2025-02-13,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
Closekarma,Accepted,3.64,172.0,,,,,,,,,2025-03-15,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
DarkDrunkIguana,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
HopefulPanda,"WL, Withdrawn",3.91,174.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,True,False,False,False,,,0.0,,,,,False,False,WL
CrazyTangibleNebula,"WL, Withdrawn",4.1,159.0,,,2024-09-27,,2024-10-04,,,,2025-01-31,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
AmazingFaithfulMouse,"WL, Withdrawn",3.9,167.0,,,2024-10-25,,,,,,2025-02-07,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
CombatWombat,"WL, Withdrawn",4.0,175.0,1-4 years,,2024-11-21,2024-11-21,,2024-12-06,,,2025-02-21,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
FurryFiveGriffin,Pending,3.75,175.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
Gone-but-not-Fishing,"WL, Withdrawn",3.71,174.0,5-9 years,,2025-01-03,2025-01-06,2025-01-06,2025-01-10,,2025-01-06,2025-03-06,,2025-06-13T15:24:42Z,,False,,True,,False,White,True,False,False,True,False,False,False,,,9.0,,,,,False,False,WL
Sweetpot8toluvr,Accepted,3.93,176.0,1-4 years,,,,2024-10-23,2024-12-01,,,2025-01-07,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Accepted
PanoramicUsefulSpider,Rejected,2.83,174.0,1-4 years,,,,,,,,2025-04-04,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,166.0,159.0,5.0,,False,False,Rejected
Driftwoodecho,Pending,4.0,162.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ninerhock,Rejected,4.1,166.0,0 years (KJD),,2025-01-08,2025-01-10,2025-01-10,2025-01-24,,,2025-03-28,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
TerrificVivaciousCattle,"WL, Withdrawn",3.82,170.0,,,,,,,,,2025-05-06,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,WL
FurryExcitingAnt,Rejected,3.58,170.0,1-4 years,,2024-12-06,,2024-12-10,2025-01-10,,2024-12-07,2025-03-06,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
Halleluyuh,Rejected,3.78,164.0,,,2024-12-01,2024-12-01,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
PsychoticThreeToddler,"WL, Withdrawn",3.89,177.0,0 years (KJD),,2025-03-01,,,,,,2025-04-10,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
FePanther,Waitlisted,3.63,171.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
HappyRhetoricalFish,Waitlisted,4.02,168.0,1-4 years,,2025-02-28,,,,,,2025-04-18,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
CosmicDiablo2,"WL, Withdrawn",3.47,171.0,1-4 years,,2024-10-16,2024-10-16,,,,,2025-02-07,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,American Indian/Alaskan Native,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
SteadfastFiveGiraffe,Pending,3.73,169.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
YRDSL,"WL, Withdrawn",3.94,173.0,1-4 years,,2024-11-10,,2024-11-11,2024-12-06,,,2025-02-21,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
MassiveWrathfulDandelion,Pending,3.4,169.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
CloisteredNoisyRottweiler,Waitlisted,3.42,171.0,1-4 years,,,,,,,,2025-02-07,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,True,underage drinking,,2.0,,,,,False,False,Waitlisted
HandsomelyUnusedLeopard,"wl_accepted, Attending",3.98,166.0,1-4 years,,2024-12-01,,,,,,2025-07-01,Regular Decision,2025-07-03T18:02:33Z,,False,,False,,True,Other,False,False,False,False,True,False,False,,regular,1.0,,,,,False,False,wl_accepted
GenericDisplayName,Rejected,3.9,165.0,10+ years,,,,,,,,2025-04-04,,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,,10.0,,,,,False,False,Rejected
ClutteredIcySnake,"WL, Withdrawn",3.92,169.0,1-4 years,,2024-11-17,,,2024-12-06,,,2025-02-21,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
AlluringAquaticAnt,Pending,3.95,,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
Stevens,Rejected,4.0,170.0,,,,,,,,,2025-02-09,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
Lindsay4LawSchool,Pending,3.95,166.0,1-4 years,,2024-09-02,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
ScatteredGuiltlessMinotaur,"WL, Withdrawn",3.34,166.0,5-9 years,,2025-02-05,2025-02-05,,,,2025-02-13,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,True,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
profpessimist1601,"WL, Withdrawn",3.89,162.0,1-4 years,,2024-12-03,,2025-01-10,,,,2025-03-13,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
haluigi,Pending,3.73,166.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
InnocentWorriedHusky,Accepted,3.58,175.0,5-9 years,"$45,000",2025-01-01,,,,,2025-01-02,2025-03-11,Regular Decision,2025-06-13T15:24:43Z,45000,False,,True,,True,Black or African American,False,True,False,False,False,False,False,,regular,6.0,,,,,False,False,Accepted
MaxsLSJourney,"WL, Withdrawn",3.83,170.0,5-9 years,,2024-11-27,2024-11-27,2024-11-27,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
NonstopMacabreLemming,Rejected,3.93,158.0,,,,,,,,,2025-04-12,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
GatorGrad123,"WL, Withdrawn",3.03,179.0,1-4 years,,2024-09-29,2024-09-29,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
kit-2025,Waitlisted,3.79,168.0,1-4 years,,2024-12-02,2024-12-02,,2025-01-10,,,2025-03-05,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
FineDeliriousDragon,"WL, Withdrawn",3.56,172.0,5-9 years,,2024-10-27,2024-10-28,2024-10-29,,,2024-10-27,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,9.0,,,,,False,False,WL
MeekRuthlessLemur,"WL, Withdrawn",2.93,172.0,10+ years,,2024-09-03,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,True,False,False,False,,,14.0,,,,,False,False,WL
Hahahahuhuhu,Pending,,,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
sprbss,Pending,2.97,168.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
ImpoliteWoodenOcelot,Waitlisted,3.82,168.0,,,2025-01-28,2025-01-29,2025-01-30,2025-02-07,,2025-01-29,2025-03-28,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
Big-Miss-Steak,Rejected,3.73,165.0,1-4 years,,2024-12-02,,2024-12-04,2024-12-13,,,2025-03-05,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
ScaredPrettyTadpole,Accepted,3.9,176.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
skipps,Rejected,3.72,151.0,,,2025-01-28,,,2025-02-14,,,2025-03-21,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
PrivateHocClown,Waitlisted,3.65,167.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
hopefulpublicpretender,Rejected,3.72,170.0,1-4 years,,2024-12-02,,,,,,2025-02-27,,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Rejected
hcarralero2005,Rejected,3.93,168.0,0 years (KJD),,,,,,,,2025-04-18,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
TryingToBeElleWoods,Pending,3.83,168.0,,,2025-02-07,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
GreyInquisitiveSheep,Rejected,3.64,164.0,,,2024-11-11,2024-11-11,2024-11-17,,,,2025-02-28,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
DecentPegasus,Rejected,3.65,165.0,0 years (KJD),,2024-12-02,,2024-12-06,2024-12-06,,,2025-03-06,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
LivingPoliticalDogfish,"WL, Withdrawn",3.79,170.0,5-9 years,,2024-10-31,,,,,,2025-02-13,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,True,False,False,True,False,False,False,,regular,8.0,,,,,False,False,WL
blessedandfavored,Rejected,3.78,162.0,1-4 years,,,,2025-01-17,,,,2025-03-28,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
VacuousJuvenileBrain,"WL, Withdrawn",3.5,173.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
MightyDynamicCrow,Rejected,,168.0,,,,2024-12-15,,,,,2025-03-13,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
SmallElf,Waitlisted,3.73,167.0,,,2024-09-08,2024-09-08,2024-09-10,2024-12-01,,2024-09-09,2025-02-07,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
magictwinx,"WL, Withdrawn",4.15,166.0,0 years (KJD),,2024-12-06,2024-12-06,,2025-01-10,,,2025-03-13,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
SynonymousChubbySombrero,Pending,3.3,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
arabtwunk,Rejected,3.29,162.0,1-4 years,,2025-02-07,2025-02-10,2025-02-10,2025-02-28,,,2025-04-08,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Other,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
FestivusForTheRestOfUs,"WL, Withdrawn",3.04,172.0,,,2024-09-05,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,White,False,True,False,True,False,False,False,,regular,,,,,,False,False,WL
DrNoodlemanPhD,"WL, Withdrawn",3.75,174.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
FixedOnerousDwarf,Pending,,175.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
NiceRightfulPhoenix,Pending,3.7,155.0,1-4 years,,2025-02-07,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
UnequaledTastefulCow,Pending,3.1,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ImmenseGreenEagle,Pending,3.67,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
XenomorphMoose,Pending,3.94,165.0,1-4 years,,2024-09-22,2024-09-23,2024-09-24,2024-12-01,,2024-09-24,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
TenderChiefSparrow,"WL, Rejected",3.81,171.0,0 years (KJD),,2024-12-02,,,,,,2025-05-01,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,"WL, Rejected"
jached,Pending,3.76,,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
TaroMilkTea,"WL, Withdrawn",3.93,170.0,,,2024-10-23,2024-10-24,,,,,2025-02-07,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
AbjectCobra,Waitlisted,3.95,168.0,1-4 years,,,,,,,,2025-02-13,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Waitlisted
LSACvictim,Pending,3.88,161.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
UttermostIndustriousCrab,Accepted,3.97,174.0,,"$105,000",2025-01-05,,,,,,2025-02-17,,2025-06-13T15:24:43Z,105000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
shiningbathtub,Accepted,3.85,173.0,,,,,,,,,2025-01-28,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
MeaslyPainstakingZombie,"WL, Withdrawn",3.81,171.0,,,2024-11-30,,,,,,2025-03-21,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
CastIronQT,Pending,3.52,164.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
bartsimpsonluvr,"WL, Withdrawn",4.15,179.0,0 years (KJD),,2024-09-15,2024-09-16,2024-09-18,2024-12-01,,2024-09-17,2025-01-31,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
AwareFloweryKrampus,Waitlisted,3.61,174.0,,,2024-10-23,2024-10-24,2024-10-30,2024-12-01,,2024-10-28,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
HollowSubduedCyclops,Accepted,3.6,174.0,,,2024-12-22,,,,,,2025-02-11,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
LargeVivaciousAntelope,Accepted,3.8,173.0,,,,,,,,,2025-01-28,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
phillyliverpoolfan,Rejected,3.83,168.0,1-4 years,,2024-11-12,,,,,,2025-02-21,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
CautiousHaplessGorgon,"WL, Withdrawn",3.42,172.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,True,False,True,False,False,False,,regular,4.0,,,,,False,False,WL
heydorothea,Pending,3.68,169.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Native Hawaiian or other Pacific Islander,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LaniusLacrimosus,Rejected,4.0,169.0,0 years (KJD),,2025-01-27,2025-01-27,2025-01-28,,,2025-01-28,2025-03-14,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
how,Rejected,2.98,169.0,5-9 years,,2024-12-28,2024-12-28,2025-01-02,,,,2025-03-07,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,5.0,160.0,170.0,4.5,,False,False,Rejected
thecableguy7,"WL, Withdrawn",3.84,171.0,0 years (KJD),,2024-09-01,2024-09-04,2024-09-08,2024-12-01,,2024-09-05,2025-03-14,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
FlawlessGleamingBoar,Waitlisted,3.41,172.0,0 years (KJD),,2024-10-01,,,,,,2025-01-31,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
redpink12,Accepted,4.04,175.0,,,,2024-12-07,2024-12-15,,,,2025-03-10,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
HegelianWashout,Pending,3.82,168.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
EncouragingGentlePotato,Rejected,3.4,154.0,5-9 years,,,,,,,,2025-03-10,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,7.0,,,,,False,False,Rejected
UnderstoodJealousLeopard,Rejected,4.03,166.0,1-4 years,,2025-02-03,2025-02-05,2025-02-06,2025-02-07,,,2025-03-14,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,1.0,152.0,151.0,4.5,,False,False,Rejected
AdhesiveAloofSlug,Rejected,3.57,170.0,0 years (KJD),,,,,,,,2025-03-14,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Rejected
CuddlyAwareRhino,Rejected,3.8,168.0,1-4 years,,2024-11-27,,,,,,2025-03-05,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
EnergeticBreezyInfant,Pending,,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
couldvescoredhigher,Waitlisted,2.75,173.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
kackael,Rejected,3.4,155.0,0 years (KJD),,,,,,,,2025-03-28,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
ptwob,Rejected,3.19,169.0,1-4 years,,2024-11-29,2024-11-29,2024-12-09,2024-12-13,,2024-11-30,2025-03-07,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,True,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
FederalGuiltlessNewt,Waitlisted,3.2,173.0,10+ years,,2024-11-27,,,,,,2025-02-21,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Waitlisted
SlipperyUrchin,"WL, Withdrawn",3.6,174.0,10+ years,,2025-03-03,2025-03-03,2025-03-10,2025-03-14,,2025-03-04,2025-04-10,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,False,,False,False,False,True,False,False,True,,regular,10.0,,,,,False,False,WL
AmbiguousPenguin,Waitlisted,3.93,161.0,0 years (KJD),,2025-01-13,2025-02-28,2025-02-28,2025-03-01,,,2025-03-13,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
BoredStickyFox,Waitlisted,3.94,163.0,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
road2milllionzz,Accepted,3.98,174.0,1-4 years,,2024-11-15,,,,,,2025-02-03,,2025-06-13T15:24:44Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
FlatThirdMayfly,Rejected,3.86,167.0,1-4 years,,2025-01-03,2025-01-03,,2025-02-07,,,2025-03-28,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,East Asian,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
wwwdot,Rejected,3.85,164.0,0 years (KJD),,2024-09-02,2024-09-04,2024-09-08,,,,2025-01-31,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
lawandyoda,Rejected,,,5-9 years,,2024-10-14,,2024-10-15,,,,2025-03-05,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Rejected
AggressiveLivingRobin,Rejected,3.23,167.0,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,True,on academic probation second semester of freshman year of undergrad,,,,,,,False,False,Rejected
PanickyOutgoingBrain,rejected,3.0,159.0,5-9 years,,2024-11-27,2024-11-27,,,,,,Regular Decision,2025-10-01T10:33:29Z,,False,,False,,False,White,False,False,False,False,False,False,True,Academic Probation due to low GPA during medical issues,regular,5.0,,,,,True,False,rejected
FacciaBarboncina,"WL, Withdrawn",3.83,178.0,10+ years,,2025-01-30,2025-01-30,2025-02-01,,,,2025-03-14,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,10.0,,,,,False,False,WL
