user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Rembop123,Accepted,4.22,161.0,,"$96,000",,,2024-11-27,,,,2024-12-13,,2025-06-13T15:24:42Z,96000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Dam,"Withdrawn, Withdrawn, Hold",3.67,146.0,10+ years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,True,True,False,False,False,,,10.0,,,,,False,False,Withdrawn
princesskat63,Pending,3.89,150.0,10+ years,,2025-01-17,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,True,False,False,False,False,False,False,,,11.0,,,,,False,False,Pending
FastRainyChameleon,Accepted,3.13,159.0,1-4 years,"$120,000",,,,,,,2025-01-27,,2025-06-13T15:24:43Z,120000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Accepted
OrangeLewdBison,Accepted,3.53,152.0,,"$80,000",,,,,,,2024-12-02,,2025-06-13T15:24:43Z,80000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
wishesandprayers,Pending,3.46,147.0,1-4 years,,2024-09-17,2024-09-17,2024-09-17,2024-09-18,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
FirstGenLaw28,Accepted,3.18,148.0,5-9 years,"$48,300",2025-02-06,2025-02-07,2025-02-07,2025-02-11,,,2025-02-17,Regular Decision,2025-06-13T15:24:44Z,48300,False,,False,,False,White,False,False,False,False,False,False,False,,regular,7.0,,,,,False,False,Accepted
QuickestAnteater,Pending,,,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Chewie,Rejected,2.8,152.0,10+ years,,2025-02-04,,,,,,2025-02-14,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,True,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Rejected
BluePretty,Accepted,3.3,147.0,,,,,,,,,2025-02-22,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
TiredStrangeMilk,Accepted,2.91,152.0,5-9 years,"$36,500",2024-12-06,,,,,,2024-12-18,Regular Decision,2025-06-13T15:24:45Z,36500,False,,True,,True,Multiracial,False,False,False,False,False,False,True,academic probation ,regular,5.0,,,,,False,False,Accepted
LovingLawLoveGirly,Accepted,3.98,154.0,1-4 years,"$50,000",2024-09-15,,2024-09-15,2024-09-26,,,2024-10-14,Regular Decision,2025-06-13T15:24:45Z,50000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
DangerousKnottyBarnacle,Rejected,2.16,150.0,10+ years,,,,,,,,2025-01-08,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,regular,12.0,,,,,False,False,Rejected
BrightDiscreetWyvern,Pending,2.2,159.0,10+ years,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,False,White,False,False,False,False,False,False,False,,,16.0,,,,,False,False,Pending
ExpensiveDevilishEmu,Pending,3.67,163.0,10+ years,,2025-03-06,2025-03-07,2025-03-07,2025-03-07,,,,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,True,Native Hawaiian or other Pacific Islander,True,False,False,False,False,False,False,,regular,22.0,,,,,False,False,Pending
keith11423,Pending,2.9,166.0,,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,166.0,161.0,3.5,,False,False,Pending
HospitableInexpensiveTermite,Rejected,2.97,147.0,10+ years,,,,,,,,2024-12-16,,2025-06-13T15:24:48Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,15.0,,,,,False,False,Rejected
OneCloud,Accepted,3.2,149.0,,"$51,000",,,,,,,2025-03-12,,2025-06-13T15:24:49Z,51000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
KaputOvalJaguar,Pending,3.94,153.0,,,,,,,,,,,2025-06-13T15:24:49Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
CurvedMoldyMoose,Accepted,3.19,159.0,,"$84,600",2025-02-10,,,,,,2025-02-18,Regular Decision,2025-06-13T15:24:49Z,84600,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
FeignedTiresomeGrasshopper,Waitlisted,2.2,156.0,,,,,,,,,2025-03-18,,2025-06-13T15:24:50Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
Commonroom117,Accepted,3.21,150.0,10+ years,"$38,250",2024-09-19,,,,,,2024-09-26,Regular Decision,2025-06-13T15:24:50Z,38250,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Accepted
BoilingQuietAlbatross,Rejected,3.4,148.0,,,2024-12-06,2024-12-09,2025-01-23,,,,2025-01-23,,2025-06-13T15:24:50Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
R33,Rejected,3.29,145.0,10+ years,,,,2024-09-18,,,,2024-09-23,Regular Decision,2025-06-13T15:24:51Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,True,Juvenile Criminal record,regular,20.0,,,,,False,False,Rejected
SynonymousSpikyCheetah,Accepted,3.18,151.0,1-4 years,"$38,000, Conditional",,,,,,,2024-12-16,,2025-06-13T15:24:51Z,38000,True,,False,,False,,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
