user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
SafeHallowedJaguar,Pending,3.5,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
WoodenProbableInsect,Pending,,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
RetiredCPO,Waitlisted,3.75,148.0,,,,,,,,,,,2025-06-13T15:24:45Z,,False,,True,,False,White,True,True,False,False,False,False,False,,,,,,,,False,False,Waitlisted
AfraidAttractiveAnteater,Pending,2.87,144.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,6.0,,,,,False,False,Pending
QuirkySourSwallow,Pending,2.59,154.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
RuthlessAromaticTermite,"WL, Accepted",3.5,150.0,,"$30,000",2025-02-07,2025-03-20,,,,,2025-03-21,Regular Decision,2025-06-13T15:24:46Z,30000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,"WL, Accepted"
GlitterDolphin23,Accepted,2.45,158.0,,,,,,,,,2025-04-25,,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,True,Reckless driving/juvenile battery,,,,,,,False,False,Accepted
CleverCactusCrew,Pending,3.93,155.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
B1H6K08,Pending,4.0,137.0,5-9 years,,2024-11-07,2024-11-08,2024-11-08,2024-11-11,,,,Regular Decision,2025-06-13T15:24:48Z,,False,,True,CAS fee waiver covers only 6 reports,False,White,False,True,False,False,False,False,True,,regular,5.0,,,,,False,False,Pending
LAWDON,Accepted,3.0,156.0,,"$43,000",,,,,,,2025-01-29,Regular Decision,2025-06-13T15:24:49Z,43000,False,,True,,True,Other,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
hopinforthebestt,Rejected,3.3,147.0,1-4 years,,2025-02-05,2025-02-07,,,,,2025-05-30,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,True,Native Hawaiian or other Pacific Islander,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
DelightfulAcidAnt,Waitlisted,2.45,157.0,,,,,,,,,,,2025-06-13T15:24:49Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
cassityfaye,Accepted,,,,,,,,,,,2025-04-03,,2025-06-13T15:24:50Z,,True,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Kittylawyer18,"WL, Withdrawn",3.76,150.0,1-4 years,,2024-09-02,,2024-10-23,2024-11-18,,,2024-11-26,Regular Decision,2025-06-13T15:24:51Z,,False,,False,,False,White,False,True,False,True,False,False,False,,regular,4.0,,,,,False,False,WL
lawyerforlouboutins,Pending,3.05,155.0,,,,,,,,,,,2025-06-13T15:24:52Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
not-CHAT-GPT,Pending,2.76,162.0,10+ years,,,,,,,,,,2025-06-13T15:24:52Z,,,,False,,True,Hispanic/Latino,True,False,False,False,False,False,False,,,15.0,,,,,False,False,Pending
Lawyahhh,Pending,3.26,159.0,1-4 years,,2024-09-28,,,,,,,Regular Decision,2025-06-13T15:24:53Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Pending
walkingwithfaith123,"WL, Withdrawn",3.8,148.0,,,2024-09-29,,,,,,,,2025-06-13T15:24:54Z,,False,,True,,True,Black or African American,False,True,False,True,False,False,False,,,,,,,,False,False,WL
ouulaladar180,Pending,3.3,152.0,5-9 years,,,,,,,,,,2025-06-13T15:24:54Z,,,,False,,False,East Asian,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Pending
NeighborlyOutrageousSloth,Accepted,2.89,159.0,5-9 years,,,,,,,,2025-03-04,,2025-06-13T15:24:54Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,6.0,,,,,False,False,Accepted
LikeFortunateMockingbird,Accepted,3.34,158.0,,"$156,750, Conditional",2025-03-23,2025-03-24,2025-03-24,2025-04-01,2025-04-02,,2025-04-10,Regular Decision,2025-06-13T15:24:54Z,156750,True,,False,,True,Other,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
WinxFairy,Pending,,,,,,,,,,,,,2025-06-13T15:24:54Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ElasticFallaciousCapybara,Rejected,3.3,141.0,1-4 years,,2025-02-15,,,,,,2025-03-06,,2025-06-13T15:24:55Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Rejected
InsightfulFrog,Pending,3.72,155.0,,,2025-03-12,,,,,,,Regular Decision,2025-06-13T15:24:55Z,,False,,False,,False,East Asian,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
DecorousCharmingPenguin,Waitlisted,2.18,155.0,,"$25,000",2025-04-01,,,,,,2025-04-18,,2025-06-13T15:24:55Z,25000,False,,True,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Waitlisted
AbruptCeaselessGiraffe,Waitlisted,3.86,149.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:55Z,,False,,True,,True,Black or African American,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
Armenjan,Waitlisted,2.16,160.0,10+ years,,,,,,,,,,2025-06-13T15:25:03Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,14.0,,,,,False,False,Waitlisted
