user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
TuckertonTheTurtle,"WL, Withdrawn",3.43,157.0,1-4 years,,2025-03-14,,,,,,2025-04-01,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,4.0,,,,,False,False,WL
TomorrowisAlreadyHere8097,Waitlisted,3.9,155.0,0 years (KJD),,2024-11-27,,,,,,2025-01-02,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Waitlisted
liliumlex,Accepted,4.0,167.0,1-4 years,"$81,300, Conditional, full OOS tuition for 1L, IS tuition for 2L and 3L with opportunity to gain residency status; maintain GPA above or equal to 77.5, Fee Waiver: unsolicited fw but i had to email them back to get it - don't miss that like i did",2025-01-07,,,,,,2025-01-13,Regular Decision,2025-06-13T15:24:43Z,81300,True,"full OOS tuition for 1L, IS tuition for 2L and 3L with opportunity to gain residency status; maintain GPA above or equal to 77.5",True,unsolicited fw but i had to email them back to get it - don't miss that like i did,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
NiftyMistyLiger,Accepted,3.96,160.0,,"$0, OOS Waiver for 1L ($6,000) - No Scholarship",2024-12-23,,,,,,2025-01-09,Regular Decision,2025-06-13T15:24:43Z,0,False,"OOS Waiver for 1L ($6,000) - No Scholarship",True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
justtryingtogotoschoolhere,Accepted,3.86,158.0,1-4 years,"$6,300",2024-09-03,2024-09-04,,,,,2024-09-06,Regular Decision,2025-06-13T15:24:43Z,6300,False,,False,,False,,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
sltmich21,Pending,2.22,163.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,True,,,3.0,,,,,False,False,Pending
UttermostIndustriousCrab,Accepted,3.97,174.0,,"$75,000, No",2024-09-24,,,,,,2024-09-27,,2025-06-13T15:24:43Z,75000,False,No,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
voilamonami,"WL, Withdrawn",3.55,157.0,1-4 years,,2024-12-10,2024-12-11,2024-12-12,,,,2025-01-02,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
HotPlausiblePadawon,"WL, Withdrawn",3.89,154.0,,,,,,,,,2025-03-03,,2025-06-13T15:24:47Z,,False,,True,,False,White,False,True,False,True,False,False,False,,,,,,,,False,False,WL
k8s3,Accepted,3.11,167.0,1-4 years,,,,,,,,2024-09-09,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
AGGirl,"WL, Withdrawn",3.08,160.0,1-4 years,,2024-11-09,2024-11-09,2024-11-11,,,,2024-12-02,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,False,White,False,True,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
Kittylawyer18,"WL, Withdrawn",3.76,150.0,1-4 years,,2024-09-03,,2024-09-04,2024-09-20,,,2024-11-01,Regular Decision,2025-06-13T15:24:50Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,4.0,,,,,False,False,WL
NutritiousHollowCamel,Waitlisted,3.96,152.0,,,,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
RapidSpitefulOctopus,Waitlisted,3.94,157.0,1-4 years,,2024-10-26,2024-10-26,2024-10-28,,,,2025-01-02,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Waitlisted
AnnoyingVenomousTaco,"WL, Withdrawn",3.83,155.0,0 years (KJD),,2024-10-02,2024-10-03,2024-10-03,,,,2024-11-01,Regular Decision,2025-06-13T15:24:53Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
TabooQuickReindeer,Waitlisted,3.6,158.0,,,2024-12-31,2024-12-31,2025-01-02,,,,2025-02-03,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
rchandler15,Waitlisted,3.59,157.0,,,,,,,,,2025-01-02,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
Brittles15,"WL, Withdrawn",3.0,154.0,10+ years,,2024-12-05,2024-12-05,2024-12-06,,,,2025-01-02,Regular Decision,2025-06-13T15:24:55Z,,False,,True,,False,White,False,True,False,True,False,False,False,,regular,18.0,,,,,False,False,WL
Christ116eb,Pending,2.56,153.0,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
FeignedSubduedCrane,"WL, Withdrawn",2.75,155.0,5-9 years,,,,,,,,,,2025-06-13T15:24:59Z,,False,,True,,True,Hispanic/Latino,False,True,False,True,False,False,True,DWI,,5.0,,,,,False,False,WL
ShyHappyRock,"WL, Withdrawn",4.0,158.0,,,2024-10-23,,,,,,2024-12-02,Regular Decision,2025-06-13T15:24:59Z,,False,,True,,False,White,False,False,False,True,False,False,True,,regular,,,,,,False,False,WL
VariousCarelessBeetle,Accepted,4.06,162.0,,"$75,000",,,,,,,2024-11-03,,2025-06-13T15:24:46Z,75000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
