user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Sugarteats,Accepted,3.59,151.0,0 years (KJD),"$50,000",2024-12-30,,,,,,2025-01-31,Regular Decision,2025-06-13T15:24:42Z,50000,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
DiscreetHideousBaboon,Pending,3.71,159.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,True,,,4.0,,,,,False,False,Pending
LegallyBrunette716,Accepted,3.98,162.0,5-9 years,"$136,000, Conditional",2024-11-29,,,,,2024-12-13,2025-02-04,Regular Decision,2025-06-13T15:24:43Z,136000,True,,False,,False,White,False,False,False,False,False,False,False,,regular,9.0,,,,,False,False,Accepted
RollTideRoll,Pending,3.57,,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
DisgustedKnowingSnail,Pending,2.6,157.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ExcellentFascinatedStingray,Accepted,2.56,156.0,10+ years,,2024-12-31,,,,,,2025-02-17,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,20.0,,,,,False,False,Accepted
SleepyOutrageousRoadrunner,Accepted,3.49,155.0,1-4 years,"$136,000, Conditional",2024-11-25,2024-11-25,2024-11-25,,,2024-12-09,2024-12-18,Regular Decision,2025-06-13T15:24:44Z,136000,True,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
llama,Rejected,4.0,161.0,1-4 years,,2024-09-11,,,,,,2024-12-17,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,True,speed ticket,regular,4.0,,,,,False,False,Rejected
Iwanttogotolawschoolsobad,Accepted,3.93,152.0,,"$70,000",,,,,,,2025-02-28,,2025-06-13T15:24:44Z,70000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
FeignedTiresomeGrasshopper,Waitlisted,2.2,156.0,,,,,,,,,2025-05-14,,2025-06-13T15:24:44Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
LSATQueen,Pending,3.99,164.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
IslandBoy714,Accepted,3.2,150.0,,,,,,,,,2025-01-31,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Samburger,Pending,3.5,162.0,10+ years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,True,DUI,,10.0,,,,,False,False,Pending
WillingReadyGorilla,Rejected,3.52,144.0,,,,,,,,,2024-12-05,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
LeMythe2000,"WL, Withdrawn",3.3,149.0,1-4 years,,,,,,,,2025-03-11,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Black or African American,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
legallyunwell,Accepted,3.8,155.0,1-4 years,"$75,000",,,,,,,2025-04-02,,2025-06-13T15:24:45Z,75000,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
Liquid-Dino,Pending,3.4,157.0,5-9 years,,2025-02-09,,,,,2025-02-20,,,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Pending
cnw1198,Pending,2.1,144.0,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Mrottosdad,Accepted,3.29,167.0,10+ years,"$136,000",,,,,,,2025-01-14,Regular Decision,2025-06-13T15:24:46Z,136000,False,,False,,False,White,False,True,False,False,False,False,False,,regular,12.0,,,,,False,False,Accepted
BLamb28,Pending,2.52,147.0,10+ years,,,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,True,False,False,False,False,False,False,,regular,11.0,,,,,False,False,Pending
TabooQuickReindeer,Accepted,3.6,158.0,,"$100,000",2024-12-11,2024-12-12,,2024-12-30,,2025-01-06,2025-01-31,Regular Decision,2025-06-13T15:24:46Z,100000,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
ChiknCarm,Accepted,3.63,159.0,,,2024-11-12,,,,,,2024-12-18,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
HorribleRottenCatfish,Rejected,2.7,160.0,10+ years,,2024-12-02,,,,,,2025-01-22,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,True,Felony drug charge from 2017,regular,10.0,,,,,False,False,Rejected
CertainHandsomeTank,Accepted,3.41,165.0,1-4 years,"$136,000, Conditional",,,,,,,2025-01-10,,2025-06-13T15:24:46Z,136000,True,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
prosecutorpanda,Pending,3.7,154.0,1-4 years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
HMCTinyDancer,Accepted,,,,,,,,,,,2025-02-25,,2025-06-13T15:24:47Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SadboyGerald,Waitlisted,2.3,164.0,,,,,,,,2025-02-10,2025-03-11,,2025-06-13T15:24:47Z,,False,,True,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
PreciousStingyDemogorgon,Pending,3.68,148.0,,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
WhisperingTalentedFox,Accepted,,,,,,,,,,,2025-03-20,,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
YouthfulCumbersomeLoon,Accepted,2.9,158.0,,"$90,000",,,,,,,2025-02-07,,2025-06-13T15:24:48Z,90000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
JDJr,Pending,3.24,159.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:48Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
SpiffyTiger,Pending,3.37,149.0,,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
AwareFalseKangaroo,Accepted,3.77,157.0,1-4 years,"$90,000",2024-11-13,,,,,,2025-01-14,Regular Decision,2025-06-13T15:24:48Z,90000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
OneCloud,Accepted,3.2,149.0,,"$35,000",,,,,,,2025-03-24,,2025-06-13T15:24:49Z,35000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
QuestionableFlamingo,Pending,3.12,155.0,10+ years,,,,,,,,,,2025-06-13T15:24:49Z,,,,False,,False,White,False,False,False,False,False,False,True,"DUI, academic probation",,13.0,,,,,False,False,Pending
MyKinkIsKarma,"Withdrawn, Withdrawn",3.34,154.0,,,2025-02-28,2025-02-28,2025-03-19,2025-03-19,,2025-03-19,,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,Withdrawn
RightfulRigidTerrier,Accepted,3.5,152.0,1-4 years,"$65,000",,,,,,,2025-05-06,,2025-06-13T15:24:49Z,65000,False,,False,,False,,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
katycat7715,Pending,3.44,153.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:50Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
CoolLiterateOtter,Accepted,3.94,161.0,0 years (KJD),"$136,000",2024-09-07,2024-09-09,,2024-10-24,2024-11-07,2024-10-24,2024-11-25,Regular Decision,2025-06-13T15:24:50Z,136000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
PaleDrabBlackbird,Accepted,3.72,152.0,,"$60,000",2024-11-01,2024-11-01,2024-11-18,2024-11-18,,,2024-12-18,Regular Decision,2025-06-13T15:24:50Z,60000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Hurryupthedecisions,Accepted,3.52,156.0,1-4 years,"$85,000",2025-02-28,2025-02-28,2025-03-18,,,2025-03-19,2025-04-16,Regular Decision,2025-06-13T15:24:50Z,85000,False,,True,,True,Other,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
NewUselessCrab,Pending,3.51,164.0,,,,,,,,,,,2025-06-13T15:24:50Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
itsgonnabecold,Accepted,3.89,154.0,,"$70,000",,,,,,,2025-02-14,,2025-06-13T15:24:50Z,70000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
TenseOutgoingPuppy,Pending,3.7,149.0,10+ years,,,,,,,,,,2025-06-13T15:24:51Z,,,,False,,False,,True,False,False,False,False,False,False,,,12.0,,,,,False,False,Pending
lawschooldreamer23,Waitlisted,3.2,148.0,,,,,,,,,,,2025-06-13T15:24:51Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
Ayara54,Rejected,2.9,147.0,,,,,,,,,2025-01-22,,2025-06-13T15:24:52Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
GreySoreHornet,Pending,3.45,150.0,5-9 years,,2025-02-15,2025-02-15,,,,,,Regular Decision,2025-06-13T15:24:52Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Pending
betweentwofires,Accepted,3.61,154.0,,,,,,,,,2024-12-09,,2025-06-13T15:24:53Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
OrangeVictoriousLawyer,Pending,2.9,156.0,5-9 years,,2025-01-23,,,,,2025-02-12,,,2025-06-13T15:24:53Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,9.0,,,,,False,False,Pending
SafeAstonishingForest,Accepted,3.82,152.0,1-4 years,"$60,000",2024-11-11,,,,,,2025-01-13,Regular Decision,2025-06-13T15:24:53Z,60000,False,,False,,False,,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
riordanker,"Accepted, Attending",3.28,151.0,1-4 years,"$50,000",2024-09-19,2024-09-19,,2024-10-24,2024-11-04,2024-10-24,2024-11-26,Regular Decision,2025-06-13T15:24:53Z,50000,False,,True,,False,White,False,False,False,False,True,False,False,,regular,4.0,,,,,False,False,Accepted
SpiritualDailyBandit,Pending,3.18,147.0,1-4 years,,,,,,,,,,2025-06-13T15:24:54Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
Glenco,Rejected,2.7,147.0,10+ years,,2024-11-03,2024-11-04,2024-11-11,2024-11-13,,,2025-01-22,Regular Decision,2025-06-13T15:24:54Z,,False,,False,,False,White,True,False,False,False,False,False,True,,regular,20.0,,,,,False,False,Rejected
BustlingIrritatingLadybird,Pending,3.61,147.0,,,,,,,,,,,2025-06-13T15:24:54Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
GomezCaspar,Accepted,3.7,165.0,5-9 years,"$136,000",2024-11-05,2024-11-05,2024-11-05,2024-11-11,,2024-11-11,2024-12-10,Regular Decision,2025-06-13T15:24:54Z,136000,False,,True,,False,East Asian,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
crissangelpack,Accepted,2.87,157.0,5-9 years,"$75,000",,,,,,,2024-12-10,,2025-06-13T15:24:54Z,75000,False,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
ladybug715,Pending,3.15,154.0,,,,,,,,,,,2025-06-13T15:24:55Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ThatGal,Rejected,3.89,157.0,,,2025-01-01,,,,,,2025-01-07,,2025-06-13T15:24:55Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
InternalMiniatureBuffalo,Accepted,3.26,159.0,,"$110,000, Conditional",,,,,,,2024-12-17,,2025-06-13T15:24:55Z,110000,True,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
johnniecochrantwin,Pending,2.54,149.0,5-9 years,,,,,,,,,,2025-06-13T15:24:57Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Pending
MurgoodTharshall,Accepted,2.9,149.0,1-4 years,"$30,000",2025-01-07,2025-01-07,2025-01-07,,,2025-02-10,2025-03-18,Regular Decision,2025-06-13T15:24:57Z,30000,False,,True,,True,Black or African American,False,True,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
TangibleFurryBeagle,Pending,3.48,158.0,,,,,,,,,,,2025-06-13T15:24:57Z,,,,False,,False,White,False,False,False,False,False,False,True,,,,,,,,False,False,Pending
vegetablecamera,Pending,,,,,2025-01-07,,,,,,,,2025-06-13T15:24:58Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
QuietGodlyDevil,Pending,3.0,161.0,5-9 years,,,,,,,,,,2025-06-13T15:25:00Z,,False,,True,,False,White,False,False,False,False,False,False,False,,,6.0,,,,,False,False,Pending
PurpleCarefulHummingbird,Accepted,3.42,154.0,,,2025-01-14,,,,,,2025-02-23,Regular Decision,2025-06-13T15:25:00Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
PaleTeenyWeenyTurtle,Accepted,3.54,149.0,,,,,,,,,,,2025-06-13T15:25:00Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
LevelSmilingCivet,Accepted,3.34,152.0,,"$60,000",,,,,,,2025-01-03,,2025-06-13T15:25:00Z,60000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
MereTemporaryElemental,Accepted,3.37,152.0,10+ years,,2024-10-23,2024-10-24,2024-10-24,2024-10-31,,2024-11-11,2024-12-10,Regular Decision,2025-06-13T15:25:00Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,11.0,,,,,False,False,Accepted
reneeboink,Pending,,,,,,,,,,,,,2025-06-13T15:25:01Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
AbhorrentAgonizingCockroach,Pending,3.1,155.0,,,,,,,,,,,2025-06-13T15:25:02Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LClark,Pending,3.58,145.0,,,,,,,,,,,2025-06-13T15:25:02Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
QuarrelsomeMarriedHamster,Accepted,3.54,159.0,1-4 years,"$110,000",2024-10-01,2024-10-02,,,,,2024-11-25,Regular Decision,2025-06-13T15:25:03Z,110000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
Delusional3,Accepted,3.91,161.0,,"$136,000",2024-11-21,,,,,2024-11-25,2024-12-18,Regular Decision,2025-06-13T15:25:04Z,136000,False,,True,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Jillianjt123,"Accepted, Withdrawn",2.95,,,"$100,000",,,,,,,2025-04-09,,2025-06-13T15:24:45Z,100000,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,Accepted
JurisDorktorate,"accepted, Attending",3.68,165.0,10+ years,"$141,000, Full Ride and no additional fees; Interviewed and accepted into fellows program which included an additional $5,000/yr Summer Stipend",2025-01-28,,,,,2025-02-12,2025-03-20,Regular Decision,2025-07-09T15:30:46Z,141000,False,"Full Ride and no additional fees; Interviewed and accepted into fellows program which included an additional $5,000/yr Summer Stipend",True,,False,White,False,True,False,False,True,False,False,,regular,13.0,,,,,False,False,accepted
Legally08,rejected,2.89,145.0,,,,,,,,,,Regular Decision,2025-07-22T21:55:17Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,rejected
QuirkySourSwallow,Accepted,2.59,154.0,,"$70,000",,,,,,,2025-02-21,,2025-06-13T15:24:44Z,70000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
DiderDrogba,"WL, Withdrawn",2.4,156.0,1-4 years,,2025-02-13,2025-02-13,2025-02-17,2025-03-04,,2025-02-20,2025-03-11,Regular Decision,2025-06-13T15:24:58Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
legalweapon,Pending,3.25,153.0,,,2025-02-12,,,,,,,Regular Decision,2025-06-13T15:24:53Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
AbsorbingExcitedCattle,Pending,2.34,156.0,,,,,,,,,,,2025-06-13T15:24:59Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
