user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
FadedLivelyMagpie,Accepted,3.57,166.0,,"$120,000",,,,,,,2025-03-03,,2025-06-13T15:24:42Z,120000,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
StormyKraken,Accepted,3.98,168.0,,"$180,000",,,2025-01-21,,,,2025-04-12,Regular Decision,2025-06-30T01:39:20Z,180000,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
InquisitiveSharpJackal,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
BasicJumpingCaterpillar,Waitlisted,3.77,159.0,,,2025-02-01,2025-02-01,2025-02-04,2025-02-04,,,2025-04-04,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
ShrillRottenMongoose,Accepted,3.73,,,"$90,000",2025-01-04,2025-01-04,2025-01-07,,,,2025-04-29,Regular Decision,2025-06-13T15:24:42Z,90000,False,,False,,False,,False,True,False,False,False,False,False,,regular,,164.0,163.0,4.0,,False,False,Accepted
MichealRoss,Pending,3.78,166.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
mdelancey,Pending,3.22,162.0,5-9 years,,2025-02-13,2025-02-14,2025-02-14,2025-03-13,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Pending
RhetoricalJuvenileRoc,Waitlisted,2.93,164.0,1-4 years,,,,,,,,2025-03-19,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Waitlisted
smilessmiler,Waitlisted,3.08,167.0,1-4 years,,2024-11-29,,2024-12-06,,,,2025-03-12,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
RoyalGleamingCheetah,"WL, Withdrawn",2.97,165.0,5-9 years,,2025-01-09,,,2025-01-10,2025-03-16,,2025-03-18,,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,True,False,False,False,,,5.0,,,,,False,False,WL
NonstopMacabreLemming,Waitlisted,3.93,158.0,,,,,,,,,2025-05-08,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
PeacefulTruthfulShepherd,Accepted,3.95,166.0,1-4 years,"$150,000",2025-01-03,,2025-01-06,2025-01-06,2025-03-12,,2025-03-12,,2025-06-13T15:24:43Z,150000,False,,True,,False,White,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
LilSebastianStan,"WL, Withdrawn",3.86,151.0,1-4 years,,2024-12-01,,,2024-12-06,,,2025-02-25,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
RaspyFunctionalNewt,Pending,3.84,172.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
GrumpyBashfulLiger,Waitlisted,3.5,152.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
SpecialSparklyPhoenix,Pending,3.7,157.0,1-4 years,,2024-09-15,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
QuickestFumblingLobster,Rejected,2.98,152.0,,,2024-12-02,2024-12-03,2024-12-07,2024-12-07,2024-12-09,,2025-02-13,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
YesiLikeJazz,Pending,4.19,174.0,0 years (KJD),,2024-11-28,2024-12-02,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Pending
MightyDynamicCrow,Accepted,,168.0,,"$120,000",,,2024-12-17,,,,2025-02-26,Regular Decision,2025-06-13T15:24:43Z,120000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
TomatoTree,"Withdrawn, Withdrawn",3.98,173.0,,,2024-12-17,2024-12-17,2024-12-18,2024-12-18,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,Withdrawn
Wheresmysupersuit011228,Pending,3.17,,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,5.0,158.0,156.0,4.5,,False,False,Pending
Basketball113,Accepted,3.77,166.0,,,2024-12-04,2024-12-05,,,,,2025-03-06,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
dazed-and-confused,Accepted,3.84,167.0,1-4 years,"$165,000",,,,,,,2025-03-19,,2025-06-13T15:24:43Z,165000,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
MadonnaSummer,Pending,2.94,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
legallymars,Pending,3.83,,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
machikmcn,Accepted,,166.0,,"$120,000",2024-12-03,,,,,,2025-02-04,Regular Decision,2025-06-13T15:24:43Z,120000,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
DrDresSays,"WL, Withdrawn",3.51,161.0,10+ years,,2025-02-06,2025-02-06,,,,,2025-04-24,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,12.0,,,,,False,False,WL
NaiveProbableMinotaur,Pending,,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
BriefWoodenShark,Accepted,4.03,163.0,,"$90,000",,,,,,,,,2025-06-13T15:24:43Z,90000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
AbstractedColorfulTerrier,Pending,3.2,156.0,10+ years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,35.0,,,,,False,False,Pending
AromaticNaturalUnicorn,Pending,3.87,158.0,0 years (KJD),,2025-01-06,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,False,False,False,False,False,True,Underage drinking reprimand (1st offense),regular,0.0,,,,,False,False,Pending
slocum23,"WL, Withdrawn",3.46,170.0,1-4 years,,2025-01-31,2025-01-31,2025-02-03,,,,2025-05-01,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
WaffleHouseBaby,"WL, Withdrawn",3.77,161.0,5-9 years,,2024-12-13,2024-12-16,2024-12-17,2024-12-17,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,True,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
Tswizzle,Accepted,3.85,161.0,1-4 years,,,,,,,,2025-03-27,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
MischievousTabby,Pending,3.91,163.0,1-4 years,,2024-12-02,2024-12-02,2024-12-07,2024-12-07,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Pending
QuickAnxiousCub,Pending,2.5,165.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
WhoStoleMyPizza,"WL, Withdrawn",3.59,164.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
GrangerDanger,Waitlisted,3.99,153.0,1-4 years,,,,,,,,2025-04-02,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Waitlisted
pleasepleasepleasepleaseplease,Pending,3.6,166.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
JudiciousTemporarySnake,"WL, Withdrawn",3.7,179.0,5-9 years,,2025-03-11,2025-03-11,2025-03-13,2025-03-13,,,2025-06-02,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,6.0,,,,,False,False,WL
LawStudentPKMNTrainerClass,Accepted,3.85,164.0,1-4 years,"$90,000",2025-02-25,2025-02-26,2025-02-27,,,,2025-04-28,Regular Decision,2025-06-13T15:24:44Z,90000,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
ToasterOvenExpress,"WL, Withdrawn",3.39,175.0,,,,,2024-11-29,,,,2025-02-06,,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,True,False,False,True,"speed, 2 trash and debris tickets",,,,,,,False,False,WL
IgnorantMaddeningCrab,Pending,3.2,170.0,10+ years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,17.0,,,,,False,False,Pending
Iwanttogotolawschoolsobad,Rejected,3.93,152.0,,,,,,,,,2025-04-02,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
FlutteringNeedlessChameleon,Waitlisted,3.42,163.0,,,2024-10-31,,,,,,2025-01-22,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
Pretty-Lawtina,Waitlisted,3.6,158.0,1-4 years,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,True,,,3.0,,,,,False,False,Waitlisted
catsinlawschool,Waitlisted,3.8,159.0,1-4 years,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Waitlisted
HomelyCloudyBird,Accepted,4.06,168.0,1-4 years,"$180,000",,,,,,,2025-01-30,,2025-06-13T15:24:44Z,180000,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
AloofRaspyMoth,Accepted,3.74,172.0,1-4 years,"$150,000",2024-11-26,2024-11-26,2024-11-29,,2025-01-21,,2025-01-30,Regular Decision,2025-06-13T15:24:44Z,150000,False,,False,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
joy1998,Pending,3.66,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
FuriouslyCurious,Rejected,,,,,,,,,,,2025-05-28,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
FreezingBestCub,"WL, Withdrawn",3.2,166.0,,,,,,,,,,,2025-06-13T15:24:49Z,,False,,False,,True,Multiracial,False,True,False,True,False,False,False,,,,,,,,False,False,WL
AvailableAdhesiveGrouse,"WL, Withdrawn",3.94,164.0,,,,,,,,,2025-03-24,,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,,,,,,False,False,WL
SwiftTiredRhino,Pending,3.85,169.0,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
PhilippMainlander,Pending,3.89,178.0,1-4 years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
OneBrashBuffalo,Waitlisted,2.37,167.0,,,2025-01-03,2025-01-03,2025-01-06,,,,2025-03-18,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,True,False,False,False,False,True,"One Time Plagiarism, Academic Probation",regular,,,,,,False,False,Waitlisted
NonstopBrightMole,Accepted,3.91,168.0,1-4 years,"$180,000",2024-12-04,,,,,,2025-02-13,Regular Decision,2025-06-13T15:24:44Z,180000,False,,True,,False,,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
OiOiOiOiOi,Waitlisted,3.9,155.0,1-4 years,,2025-01-29,,,,,,2025-04-07,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Other,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
HumorousWaggishStoat,Accepted,3.5,171.0,1-4 years,"$120,000",2024-12-03,2024-12-03,2024-12-08,2024-12-09,,,2025-02-27,,2025-06-13T15:24:44Z,120000,False,,False,,False,,False,True,False,False,False,False,False,,,4.0,,,,,False,False,Accepted
ellewoods420,Accepted,3.51,165.0,,"$120,000",,,,,,,2025-01-24,,2025-06-13T15:24:45Z,120000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
HarmonyCobel,Accepted,3.7,167.0,1-4 years,,,,,,,,2025-03-22,,2025-06-13T15:24:45Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
Snoops,Rejected,3.37,159.0,1-4 years,,2024-09-21,,,,,,2025-01-22,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,East Asian,False,False,False,False,False,False,True,Disciplinary Action,regular,2.0,,,,,False,False,Rejected
LasEstrellasyLuna,Accepted,3.79,166.0,1-4 years,"$165,000",2024-11-19,2024-11-20,2024-11-21,2024-11-21,2025-01-14,,2025-01-16,Regular Decision,2025-06-13T15:24:45Z,165000,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
VoicelessSecretiveQuokka,Accepted,3.76,171.0,,"$165,000",,,,,,,2024-12-18,,2025-06-13T15:24:45Z,165000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
ClumsyAcidBluebird,Accepted,3.99,172.0,0 years (KJD),"$180,000",,2024-11-07,,,2025-01-03,,2025-03-19,Regular Decision,2025-06-13T15:24:45Z,180000,False,,False,,False,,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
gabagool,Accepted,3.73,171.0,,"$150,000",,,,,,,2025-02-27,,2025-06-13T15:24:45Z,150000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
AcidicSuperficialChicken,Accepted,3.9,168.0,,,,,,,,,2025-01-16,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
BirdAttorney,Waitlisted,3.64,161.0,,,,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
Jeremy9718,"WL, Withdrawn",3.55,164.0,,,,,,,,,2025-03-07,Regular Decision,2025-06-13T15:24:51Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
nyclibrarian,"Accepted, Withdrawn",3.84,171.0,5-9 years,"$180,000, Included in acceptance email",2024-10-30,2024-11-04,2024-11-04,2024-11-04,2025-01-07,2025-02-24,2025-03-06,Regular Decision,2025-06-13T15:24:45Z,180000,False,Included in acceptance email,False,,False,,False,True,False,True,False,False,False,,regular,5.0,,,,,False,False,Accepted
TyreseMaxey,Accepted,3.12,169.0,,"$105,000",,,,,,,2025-02-20,,2025-06-13T15:24:45Z,105000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
TheBrunetteElleWoods,"WL, Withdrawn",3.91,161.0,1-4 years,,,,,,,,,,2025-06-13T15:24:51Z,,False,,False,,False,,False,False,False,True,False,False,False,,,3.0,,,,,False,False,WL
elliotness83,Pending,3.43,162.0,1-4 years,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Pending
DerangedRoomyPlatypus,"Withdrawn, Withdrawn",3.94,167.0,,,2024-11-11,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,Withdrawn
PinkSlayer33,Pending,,160.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
CDeeznutz,"WL, Withdrawn",2.91,167.0,,,2024-12-12,,,,,,,Regular Decision,2025-06-13T15:24:51Z,,False,,True,,False,East Asian,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
UnequaledTerribleTerrier,Accepted,3.75,165.0,1-4 years,"$150,000",,,,,,,2025-02-04,,2025-06-13T15:24:45Z,150000,False,,False,,False,,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
ScaryEightRobin,Accepted,3.9,162.0,1-4 years,"$90,000",,,,,,,2025-04-30,,2025-06-13T15:24:45Z,90000,False,,False,,False,,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
NoisyWaitingCrab,Waitlisted,3.51,157.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
Maxlsd,"WL, Withdrawn",3.71,164.0,0 years (KJD),,2024-10-26,2024-10-28,2024-10-28,2024-12-01,,,,Regular Decision,2025-06-13T15:24:52Z,,False,,True,,False,East Asian,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
makingcashwithmyhandout,Accepted,3.33,171.0,,"$120,000",,,,,,,2025-04-15,,2025-06-13T15:24:45Z,120000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Jakeir93,Accepted,3.3,167.0,1-4 years,"$120,000, Rejection after 4 weeks of waiting/back-and-forth",,,,,,,2025-01-30,Regular Decision,2025-06-13T15:24:45Z,120000,False,Rejection after 4 weeks of waiting/back-and-forth,True,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
BluePretty,Pending,3.3,147.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
EmbarrassedSquareHound,Waitlisted,3.38,165.0,,,,2024-12-04,,2025-02-27,,,2025-03-12,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
IJM2023,Pending,3.56,157.0,1-4 years,,2025-01-06,2025-01-06,2025-01-07,2025-04-03,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Pending
CooperativeStripedFoxhound,Pending,3.96,164.0,,,2024-12-04,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
SanFranciscoBostonNYC,Pending,3.7,163.0,5-9 years,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Pending
Jrod-Jits,"WL, Withdrawn",3.15,153.0,10+ years,,2024-09-27,,,,,,2021-02-09,,2025-06-13T15:24:53Z,,False,,False,,True,Hispanic/Latino,False,False,False,True,False,False,False,,,22.0,,,,,False,False,WL
ImaginaryLeopard,"WL, Withdrawn",3.51,162.0,,,2024-09-26,2024-09-26,2024-10-10,2024-10-10,,,2025-01-21,Regular Decision,2025-06-13T15:24:53Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
winniewoo,Pending,3.87,159.0,1-4 years,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Pending
LegallyBlondeBop,Accepted,3.9,166.0,1-4 years,"$150,000, Fee Waiver: julhorowitz15",2025-01-03,2025-01-10,2024-12-23,,,,2025-02-07,Regular Decision,2025-06-13T15:24:45Z,150000,False,,True,julhorowitz15,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
ADL22,"WL, Withdrawn",3.49,164.0,10+ years,,,,,,,,,Regular Decision,2025-06-13T15:24:53Z,,False,,False,,True,Multiracial,False,False,False,True,False,False,False,,regular,10.0,,,,,False,False,WL
SJApplicant2015,Waitlisted,3.78,156.0,1-4 years,,2024-12-06,2024-12-06,,2024-12-10,,,2025-03-12,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
EarthyNonchalantHammerhead,Accepted,3.61,168.0,,,2024-11-29,,,,,,2025-02-13,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
PuzzlingDustyJackal,"WL, Withdrawn",3.71,161.0,,,2025-01-29,,,,,,2025-03-28,Regular Decision,2025-06-13T15:24:54Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
LegallyBlondeMess,Pending,3.86,160.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
ElleWoods1,Accepted,4.06,164.0,1-4 years,"$120,000",,,,,,,2025-04-03,,2025-06-13T15:24:45Z,120000,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
ClammyAncientPhoenix,Pending,3.19,154.0,,,,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,True,Other,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
Elaw98,Accepted,3.71,158.0,1-4 years,"$60,000",2024-10-24,,,,,,2025-02-06,,2025-06-13T15:24:45Z,60000,False,,False,,False,White,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Accepted
vvv0256,Waitlisted,3.32,166.0,1-4 years,,2025-02-07,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
Tarra,Waitlisted,3.61,162.0,1-4 years,,2024-09-24,2024-09-24,2024-10-11,2024-12-16,,,2025-01-21,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,True,Other,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
superweeniehutjunior,"WL, Withdrawn",3.18,164.0,5-9 years,,2024-11-03,2024-11-03,2024-11-05,2024-11-05,,,,Regular Decision,2025-06-13T15:24:54Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,6.0,,,,,False,False,WL
sharky333,"WL, Withdrawn",3.76,164.0,,,2025-02-01,2025-02-01,,2025-02-06,,,2025-04-18,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
FlyingPurpleLizard,Waitlisted,3.03,161.0,1-4 years,,2025-01-29,2025-01-30,2025-01-31,2025-01-31,,,2025-03-31,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Waitlisted
rob-snail,Pending,3.22,169.0,,,,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ExclusiveCageyShepherd,Waitlisted,3.89,162.0,0 years (KJD),,,,,,,,2025-03-27,,2025-06-13T15:24:46Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Waitlisted
BoorishGrouchyPepper,Pending,3.98,167.0,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Kstepper,Waitlisted,3.99,153.0,,,2025-01-31,2025-01-31,2025-02-03,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
FaultyGroovyPiglet,Waitlisted,3.66,169.0,0 years (KJD),,2025-02-12,,,,,,2025-05-07,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,True,Native Hawaiian or other Pacific Islander,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
OverratedYouthfulMagpie,Waitlisted,3.47,156.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
RhetoricalImportantOwl,Rejected,3.6,151.0,1-4 years,,,,,,,,2025-01-22,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
Parkerreis,Pending,3.4,,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
MisterDavid,Waitlisted,4.0,168.0,,,2024-12-22,,,,,,2025-02-24,Early Decision → Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,ed-to-rd,,,,,,False,False,Waitlisted
MushyClutteredBuffalo,Waitlisted,3.19,162.0,5-9 years,,,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,True,,,5.0,,,,,False,False,Waitlisted
Akrifel,Waitlisted,3.6,162.0,,,,,,,,,2025-02-28,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Waitlisted
GreenGambino,Accepted,3.91,168.0,,,,,,,,,2025-02-21,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
KaputUnusualEmu,Rejected,2.75,159.0,1-4 years,,2025-02-06,2025-02-07,2025-02-07,2025-02-07,,,2025-04-18,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
DecisionFatigue,Rejected,3.1,157.0,1-4 years,,2025-01-05,,,,,,2025-03-18,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,"Was SA-ed, took a semester longer to graduate",,3.0,,,,,False,False,Rejected
Cotsworth,Waitlisted,3.29,161.0,1-4 years,,2025-01-10,,,,,,2025-03-18,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Waitlisted
NextForgetfulKobold,Pending,,,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
WaitingStimulatingPuppy,Waitlisted,3.7,165.0,10+ years,,2024-12-31,,,,,,2025-03-10,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,,False,False,False,False,False,False,True,,regular,10.0,,,,,False,False,Waitlisted
WorkableOddRattlesnake,"WL, Withdrawn",2.3,171.0,1-4 years,,2024-11-18,,,2024-11-21,,,2025-02-26,,2025-06-13T15:24:58Z,,False,,False,,False,,False,False,False,True,False,False,False,,,1.0,,,,,False,False,WL
